track_id	track_name	artist_ids	provider_id	label_ids	short_value	long_value	play_ratio	day
23997306	Dear Future Husband	[4339593]	3	[790009]	15009	2286	6.565616797900263	2019-07-29
15858898	I Won't Give Up	[2709556]	2	[730082]	25760	3943	6.533096626933807	2019-07-29
19723681	Closing Time	[3503370]	7	[742224,752531,742514]	12843	1970	6.519289340101523	2019-07-29
15119759	Iron Man (2014 Remaster)	[2778240]	2	[7720793]	11680	1794	6.510590858416945	2019-07-29
75476072	GIRL	[4372133]	3	[790188]	27837	4292	6.485787511649581	2019-07-29
21778161	Take on Me	[2712755]	2	[730694]	25633	3989	6.425921283529707	2019-07-29
78759492	Slide	[4335684]	3	[790009]	12860	2014	6.385302879841112	2019-07-29
81743454	Walk Across The Water	[2707970]	2	[730101]	21236	3341	6.356180784196348	2019-07-29
22425300	It's Five O'Clock Somewhere	[4344857,4356465]	3	[790190]	14428	2293	6.292193632795464	2019-07-29
70878043	RAP DEVIL	[3425910]	7	[742295]	20401	3330	6.126426426426426	2019-07-29
82826078	Keeping Tabs	[13420660]	7	[7065852]	14496	2367	6.1242078580481625	2019-07-29
16448452	The Sound of Silence	[2707130]	2	[730734]	54148	8873	6.102558323002366	2019-07-29
68669702	Big Pimpin'	[3644227]	7	[788121]	10172	1670	6.091017964071856	2019-07-29
19986260	ABC	[3450404]	7	[746462,740989]	13382	2209	6.057944771389769	2019-07-29
65331180	I Refuse	[11050017]	107	[2614557]	15332	2535	6.048126232741617	2019-07-29
80996990	Catch Hell	[16500381]	23	[7790344]	12646	2093	6.042044911610129	2019-07-29
75816703	100 Bad Days	[2764883]	2	[1051562]	17038	2866	5.944870900209351	2019-07-29
22432774	Faithfully	[4353258]	3	[789974]	22782	3843	5.928181108508977	2019-07-29
66519107	rockstar	[3512639]	7	[739816]	14741	2492	5.915329052969502	2019-07-29
18336872	Everybody Wants To Rule The World	[3443051]	7	[4276490,742052,740123,742232]	12744	2156	5.910946196660483	2019-07-29
82936818	Facts	[16991068]	2	[1776007]	31896	5407	5.899019789162197	2019-07-29
73395885	River Flows In You	[14435186]	275	[5313546]	10104	1718	5.881257275902212	2019-07-29
18420781	House Party	[3439676]	7	[741839,740043]	17335	2965	5.8465430016863404	2019-07-29
69114325	Level Up	[2819747]	2	[5122906]	20293	3472	5.844758064516129	2019-07-29
59563703	Any Way You Want It (Re-Recorded)	[1618270]	99	[3076551]	16422	2823	5.81721572794899	2019-07-29
62055977	Tightrope	[2761139]	2	[730075]	15975	2764	5.7796671490593345	2019-07-29
22484403	Rich Girl	[4350752]	3	[789975]	13021	2292	5.681064572425829	2019-07-29
81472327	Heat	[4335730]	3	[6229364]	15797	2781	5.6803308162531465	2019-07-29
19559931	Tainted Love	[3506870]	7	[746462,742408,747421]	10356	1841	5.6252036936447585	2019-07-29
16085347	Chicken Fried (Greatest Hits Version)	[2820548]	2	[730075]	31339	5634	5.562477813276535	2019-07-29
72734874	Lose It	[4343799]	3	[790119]	22824	4118	5.542496357455075	2019-07-29
22452261	Take Me Out	[4373969]	3	[790009]	12649	2287	5.530826410144294	2019-07-29
21777903	Landslide	[2701813]	2	[7722437]	15025	2733	5.497621661178193	2019-07-29
81780289	Natural Disaster / Aura	[4335730]	3	[6229364]	19888	3618	5.496959646213377	2019-07-29
60623924	La Chona	[2588132]	56	[1279163]	12974	2362	5.492802709568163	2019-07-29
73271695	The Chain (Live 1997; 2018 Remaster)	[2701813]	2	[7720793]	17523	3195	5.484507042253521	2019-07-29
70015601	Sweet Caroline (Single Version)	[3409210]	7	[742101]	17009	3112	5.465616966580977	2019-07-29
66519109	Psycho	[3512639]	7	[739816]	12013	2209	5.438207333635129	2019-07-29
19217230	Can You Feel the Love Tonight (From "The Lion King" / Soundtrack Version)	[3504632,3441950,3504633,3504636,3504635]	7	[746779,739477]	19416	3571	5.437132455894707	2019-07-29
74378121	Sunflower (Spider-Man: Into the Spider-Verse)	[3512639,3902535]	7	[746676]	363733	67023	5.426987750473718	2019-07-29
74378121	Sunflower (Spider-Man: Into the Spider-Verse)	[3902535,3512639]	7	[746676]	363733	67023	5.426987750473718	2019-07-29
82832259	ALREADY	[17019362,4714149,4337392]	3	[790441]	13425	2482	5.408944399677679	2019-07-29
68888280	Self Care	[2738521]	2	[7722437]	10755	1995	5.390977443609023	2019-07-29
40837022	ocean eyes	[7672420]	7	[4147740,781022]	51865	9626	5.388011635154789	2019-07-29
23905897	Beachin'	[4342430]	3	[790119]	10298	1921	5.3607496095783445	2019-07-29
62055993	From Now On	[4242587,11761204]	2	[730075]	14785	2768	5.341401734104046	2019-07-29
15018163	Breaking the Habit	[2703065]	2	[7722437]	14689	2761	5.320173850054328	2019-07-29
82339948	Can You Feel the Love Tonight	[16865721,16865722,3440626,3435448]	7	[739477]	50361	9567	5.264032612104108	2019-07-29
82339948	Can You Feel the Love Tonight	[3440626,16865721,16865722,3435448]	7	[739477]	50361	9567	5.264032612104108	2019-07-29
61332637	The Bleeding	[11050017]	107	[2614557]	13418	2557	5.247555729370356	2019-07-29
60088429	Body	[3723950]	68	[717116]	26664	5086	5.242626818718049	2019-07-29
72734873	Good as You	[4343799]	3	[790119]	32523	6249	5.204512722035526	2019-07-29
81780281	Emerald / Burgundy	[4335730]	3	[6229364]	26951	5191	5.19187054517434	2019-07-29
22443567	Danger Zone	[4348521]	3	[789988]	15383	2963	5.191697603779953	2019-07-29
15454363	Dreams	[2701813]	2	[7722437]	17458	3366	5.186571598336304	2019-07-29
18420900	Break Up In A Small Town	[3439676]	7	[741839,740043]	18672	3623	5.153739994479713	2019-07-29
19750820	Beer For My Horses	[3441540]	7	[771139,739899]	11200	2186	5.123513266239708	2019-07-29
56626951	Remember Everything	[11050017]	107	[2614557]	16351	3194	5.119286161552911	2019-07-29
22176213	So Cold	[3510742]	7	[739639]	15774	3103	5.083467611988398	2019-07-29
15429109	Immigrant Song (Remaster)	[2731107]	2	[730075]	16679	3313	5.034409900392394	2019-07-29
22096218	A Whole New World (From "Aladdin" / Soundtrack Version)	[3533108,3509505]	7	[746779,739477]	20002	4013	4.984301021679541	2019-07-29
22638434	Beautiful Girls (Radio Disney Version)	[4339640]	3	[790370]	15388	3092	4.976714100905562	2019-07-29
